LabID,📚 Projects (collecting data),🏫 Institution,🌍 Country,Lab Name,PI(s),Additional Members,Lab website,Areas of study,Methods
jmuCDL,"MB1,MB5",James Madison University,United States,Cognitive Development Lab,Krisztina V. Jakobsen,,https://sites.lib.jmu.edu/cogdevlab/,"Attention,Face perception","Eye-tracking (monitor),Online studies"
keeleLab,MB5,Keele University,United Kingdom,,Claire Monroy,"Ellie Edge,Georgie Owen",,"Attention,Cognitive development,Event Segmentation,Hearing loss,Motor development,Parent-infant synchrony,Brain development","EEG,Eye-tracking (mobile),Eye-tracking (monitor),Naturalistic observation,Parent surveys,Free-play interactions"
kidsdevUniofNewcastle,"MB2,MB4,MB5,MB5N","""University of Newcastle, Australia""",Australia,Kids' Development Research,Emma L. Axelsson,Alyssa A. Quinn,,"Autism,Developmental disorders,Language,Motor development,Social cognition,Screen time,Sleep","Eye-tracking (monitor),Parent surveys,Actigraphy"
kidslabTrier,MB5,Universität Trier,Germany,PhoneticsLab-Kids Trier,Katharina Zahner-Ritter,,http://phonetik.uni-trier.de,Language,"Central looking time,Headturn preference,Eye-tracking (mobile)"
kikoCEU,MB4,Central European University,Hungary,kikoCEU,Gergely Csibra,Denis Tatone,https://www.cognitive-development.ceu.edu/,,
kokuHamburg,"MB1,MB1G,MB5",Universität Hamburg,Germany,KOKU Research Center for Cognitive and Cultural Development,Ulf Liszkowski,"Marianna Jarto,Marlena Mayer",https://www.koku.uni-hamburg.de/en.html,,
kyotobabylab,"MB1,MB5",Kyoto University,Japan,Kyoto Baby Lab,Yusuke Moriguchi,,https://sites.google.com/site/childlabeng/,,
L19LUMSAPALAB,"MB1N,MB2,MB3,MB3-NIRS,MB5,MB6",LUMSA (Libera Università degli Studi Maria Ss. Assunta di Roma),Italy,LABL19PALUMSA,"Lidia Scifo,Umberto Di Maggio,Calogero Caltagirone","Lucrezia Lanza,Ornella Asaro",,Social cognition,
LabFonoUChile,MB5,Universidad de Chile,Chile,Laboratorio Fonoaudiología Universidad de Chile,Cristina Jara,"Paulina Aravena,Cristóbal Moënne-Loccoz",https://deptofonoaudiologia.med.uchile.cl/investigacion/laboratorios/,"Cognitive development,Brain development,Language,Developmental disorders,Visual perception,Social cognition,Cognitive Neuroscience","EEG,Eye-tracking (monitor),Naturalistic observation,Parent surveys"
labUNAM,"MB1,MB5,MB-ManyWebcams",Universidad Nacional Autónoma de México,México,Psycholinguistics,Natalia Arias-Trejo,Alejandra Mitzi Castellon Flores,,,
LafayetteKidsLab,MB5,Lafayette College,United States,Lafayette Kids Lab,Lauren Myers,,https://sites.lafayette.edu/kidslab/,"Screen time,Attention,Conceptual development,Language,Memory,Numerical cognition,Social cognition,Social development,Technoference","Free-play interactions,Parent surveys,Online studies,""Reaching (e.g., choice task)"""
lalaVU,MB3,Valparaiso University,United States,Learning and Language Acquisition Lab,Abbie Thompson,,,,
LALunipd,MB3,Università degli Studi di Padova,Italy,Language Acquisition Lab UniPd,Judit Gervain,"Gaia Lucarini,Jessica Gemignani,Martina Turconi,Zeynep Aydin,Benedetta Colavolpe",,,
lancaster,"MB1,MB1T",Lancaster University,United Kingdom,Lancaster Babylab,Katherine J. Alcock,Katie Twomey,https://wp.lancs.ac.uk/babylab/,,
langdevHaifa,"MB2,MB3,MB3L,MB3T,MB4,MB5,MB5N,MB5T,MB-ManyWebcams,MB-AtHome",University of Haifa,Israel,Language and Development Lab,Naomi Havron,"Einat Melusian,Shira Rosenberg,Noa Goldwasser,Carmel Givon",https://sites.google.com/hevra.haifa.ac.il/thelanguagedevelopmentlab/home?authuser=2,,"Eye-tracking (mobile),Eye-tracking (monitor),Preferential looking,""Reaching (e.g., choice task)"",Free-play interactions,EEG,Online studies"
langdevNSSR,MB5,New School for Social Research,United States,Human Language and Development Lab,Ruthe Foushee,,languagelab.newschool.org,"Language,Attention,Social learning,Parent-infant synchrony,Cognitive development","Eye-tracking (mobile),Eye-tracking (monitor),Head cam,Preferential looking,""Physio (e.g., heart rate, pulse ox)"",High-amplitude sucking,Naturalistic observation,Live interaction,Parent surveys,non-LENA naturalistic audio recordings"
langdevUBC,"MB5,MB5N",University of British Columbia,Canada,Language and Development Lab,Alexis K. Black,"Martin Oberg,Helen Shiyang Lu",https://languageanddevelopment.ca/,Language,"Eye-tracking (monitor),EEG,Central looking time"
